altitude,time,flight_level,Energy_Forcing,time_UTC
27000.0,1717011108.0,270,0.0,2024-05-29 19:31:48+00:00
27000.0,1717011117.0,270,0.0,2024-05-29 19:31:57+00:00
27000.0,1717011121.0,270,0.0,2024-05-29 19:32:01+00:00
27000.0,1717011125.0,270,0.0,2024-05-29 19:32:05+00:00
27000.0,1717011128.0,270,0.0,2024-05-29 19:32:08+00:00
27000.0,1717011132.0,270,0.0,2024-05-29 19:32:12+00:00
27000.0,1717011141.0,270,0.0,2024-05-29 19:32:21+00:00
27000.0,1717011144.0,270,0.0,2024-05-29 19:32:24+00:00
27000.0,1717011149.0,270,0.0,2024-05-29 19:32:29+00:00
27000.0,1717011156.0,270,0.0,2024-05-29 19:32:36+00:00
27000.0,1717011160.0,270,0.0,2024-05-29 19:32:40+00:00
27000.0,1717011165.0,270,0.0,2024-05-29 19:32:45+00:00
27000.0,1717011169.0,270,0.0,2024-05-29 19:32:49+00:00
27000.0,1717011173.0,270,0.0,2024-05-29 19:32:53+00:00
27000.0,1717011176.0,270,0.0,2024-05-29 19:32:56+00:00
27000.0,1717011186.0,270,0.0,2024-05-29 19:33:06+00:00
27000.0,1717011190.0,270,0.0,2024-05-29 19:33:10+00:00
27000.0,1717011194.0,270,0.0,2024-05-29 19:33:14+00:00
27000.0,1717011198.0,270,0.0,2024-05-29 19:33:18+00:00
27000.0,1717011206.0,270,0.0,2024-05-29 19:33:26+00:00
27000.0,1717011210.0,270,0.0,2024-05-29 19:33:30+00:00
27000.0,1717011214.0,270,0.0,2024-05-29 19:33:34+00:00
27000.0,1717011219.0,270,0.0,2024-05-29 19:33:39+00:00
27000.0,1717011222.0,270,0.0,2024-05-29 19:33:42+00:00
27000.0,1717011230.0,270,0.0,2024-05-29 19:33:50+00:00
27000.0,1717011234.0,270,0.0,2024-05-29 19:33:54+00:00
27000.0,1717011246.0,270,0.0,2024-05-29 19:34:06+00:00
27000.0,1717011251.0,270,0.0,2024-05-29 19:34:11+00:00
27000.0,1717011254.0,270,0.0,2024-05-29 19:34:14+00:00
27000.0,1717011259.0,270,0.0,2024-05-29 19:34:19+00:00
27000.0,1717011263.0,270,0.0,2024-05-29 19:34:23+00:00
27000.0,1717011270.0,270,0.0,2024-05-29 19:34:30+00:00
27000.0,1717011275.0,270,0.0,2024-05-29 19:34:35+00:00
27000.0,1717011279.0,270,0.0,2024-05-29 19:34:39+00:00
27000.0,1717011287.0,270,0.0,2024-05-29 19:34:47+00:00
27000.0,1717011294.0,270,0.0,2024-05-29 19:34:54+00:00
27000.0,1717011303.0,270,0.0,2024-05-29 19:35:03+00:00
27000.0,1717011315.0,270,0.0,2024-05-29 19:35:15+00:00
27000.0,1717011327.0,270,0.0,2024-05-29 19:35:27+00:00
27000.0,1717011335.0,270,0.0,2024-05-29 19:35:35+00:00
27000.0,1717011343.0,270,0.0,2024-05-29 19:35:43+00:00
27000.0,1717011355.0,270,0.0,2024-05-29 19:35:55+00:00
27000.0,1717011368.0,270,0.0,2024-05-29 19:36:08+00:00
27000.0,1717011375.0,270,0.0,2024-05-29 19:36:15+00:00
27000.0,1717011388.0,270,0.0,2024-05-29 19:36:28+00:00
27000.0,1717011396.0,270,0.0,2024-05-29 19:36:36+00:00
27000.0,1717011407.0,270,0.0,2024-05-29 19:36:47+00:00
27000.0,1717011416.0,270,0.0,2024-05-29 19:36:56+00:00
27000.0,1717011424.0,270,0.0,2024-05-29 19:37:04+00:00
27000.0,1717011436.0,270,0.0,2024-05-29 19:37:16+00:00
27000.0,1717011440.0,270,0.0,2024-05-29 19:37:20+00:00
27000.0,1717011456.0,270,0.0,2024-05-29 19:37:36+00:00
27000.0,1717011476.0,270,0.0,2024-05-29 19:37:56+00:00
27000.0,1717011495.0,270,0.0,2024-05-29 19:38:15+00:00
27000.0,1717011516.0,270,0.0,2024-05-29 19:38:36+00:00
27000.0,1717011536.0,270,0.0,2024-05-29 19:38:56+00:00
