altitude,time,flight_level,Energy_Forcing,time_UTC
27000.0,1716998036.0,270,0.0,2024-05-29 15:53:56+00:00
27000.0,1716998040.0,270,0.0,2024-05-29 15:54:00+00:00
27000.0,1716998048.0,270,0.0,2024-05-29 15:54:08+00:00
27000.0,1716998060.0,270,0.0,2024-05-29 15:54:20+00:00
27000.0,1716998064.0,270,0.0,2024-05-29 15:54:24+00:00
27000.0,1716998069.0,270,0.0,2024-05-29 15:54:29+00:00
27000.0,1716998072.0,270,0.0,2024-05-29 15:54:32+00:00
27000.0,1716998079.0,270,0.0,2024-05-29 15:54:39+00:00
27000.0,1716998111.0,270,0.0,2024-05-29 15:55:11+00:00
27000.0,1716998114.0,270,0.0,2024-05-29 15:55:14+00:00
27000.0,1716998118.0,270,0.0,2024-05-29 15:55:18+00:00
27000.0,1716998129.0,270,0.0,2024-05-29 15:55:29+00:00
27000.0,1716998147.0,270,0.0,2024-05-29 15:55:47+00:00
27000.0,1716998174.0,270,0.0,2024-05-29 15:56:14+00:00
27000.0,1716998180.0,270,0.0,2024-05-29 15:56:20+00:00
27000.0,1716998186.0,270,0.0,2024-05-29 15:56:26+00:00
27000.0,1716998187.0,270,0.0,2024-05-29 15:56:27+00:00
27000.0,1716998205.0,270,0.0,2024-05-29 15:56:45+00:00
27000.0,1716998224.0,270,0.0,2024-05-29 15:57:04+00:00
27000.0,1716998231.0,270,0.0,2024-05-29 15:57:11+00:00
27000.0,1716998239.0,270,0.0,2024-05-29 15:57:19+00:00
27000.0,1716998244.0,270,0.0,2024-05-29 15:57:24+00:00
27000.0,1716998248.0,270,0.0,2024-05-29 15:57:28+00:00
27000.0,1716998251.0,270,0.0,2024-05-29 15:57:31+00:00
27000.0,1716998256.0,270,0.0,2024-05-29 15:57:36+00:00
27000.0,1716998264.0,270,0.0,2024-05-29 15:57:44+00:00
27000.0,1716998268.0,270,0.0,2024-05-29 15:57:48+00:00
27000.0,1716998272.0,270,0.0,2024-05-29 15:57:52+00:00
27000.0,1716998276.0,270,0.0,2024-05-29 15:57:56+00:00
27000.0,1716998284.0,270,0.0,2024-05-29 15:58:04+00:00
27000.0,1716998288.0,270,0.0,2024-05-29 15:58:08+00:00
27000.0,1716998292.0,270,0.0,2024-05-29 15:58:12+00:00
27000.0,1716998296.0,270,0.0,2024-05-29 15:58:16+00:00
27000.0,1716998304.0,270,0.0,2024-05-29 15:58:24+00:00
27000.0,1716998308.0,270,0.0,2024-05-29 15:58:28+00:00
27000.0,1716998312.0,270,0.0,2024-05-29 15:58:32+00:00
27000.0,1716998316.0,270,0.0,2024-05-29 15:58:36+00:00
27000.0,1716998324.0,270,0.0,2024-05-29 15:58:44+00:00
27000.0,1716998328.0,270,0.0,2024-05-29 15:58:48+00:00
27000.0,1716998332.0,270,0.0,2024-05-29 15:58:52+00:00
27000.0,1716998336.0,270,0.0,2024-05-29 15:58:56+00:00
27000.0,1716998344.0,270,0.0,2024-05-29 15:59:04+00:00
27000.0,1716998348.0,270,0.0,2024-05-29 15:59:08+00:00
27000.0,1716998352.0,270,0.0,2024-05-29 15:59:12+00:00
27000.0,1716998356.0,270,0.0,2024-05-29 15:59:16+00:00
27000.0,1716998364.0,270,0.0,2024-05-29 15:59:24+00:00
27000.0,1716998368.0,270,0.0,2024-05-29 15:59:28+00:00
27000.0,1716998372.0,270,0.0,2024-05-29 15:59:32+00:00
27000.0,1716998380.0,270,0.0,2024-05-29 15:59:40+00:00
27000.0,1716998384.0,270,0.0,2024-05-29 15:59:44+00:00
27000.0,1716998388.0,270,0.0,2024-05-29 15:59:48+00:00
27000.0,1716998392.0,270,0.0,2024-05-29 15:59:52+00:00
27000.0,1716998396.0,270,0.0,2024-05-29 15:59:56+00:00
27000.0,1716998404.0,270,0.0,2024-05-29 16:00:04+00:00
27000.0,1716998408.0,270,0.0,2024-05-29 16:00:08+00:00
27000.0,1716998412.0,270,0.0,2024-05-29 16:00:12+00:00
27000.0,1716998416.0,270,0.0,2024-05-29 16:00:16+00:00
27000.0,1716998420.0,270,0.0,2024-05-29 16:00:20+00:00
27000.0,1716998428.0,270,0.0,2024-05-29 16:00:28+00:00
27000.0,1716998437.0,270,0.0,2024-05-29 16:00:37+00:00
27000.0,1716998449.0,270,0.0,2024-05-29 16:00:49+00:00
27000.0,1716998457.0,270,0.0,2024-05-29 16:00:57+00:00
27000.0,1716998469.0,270,0.0,2024-05-29 16:01:09+00:00
27000.0,1716998477.0,270,0.0,2024-05-29 16:01:17+00:00
27000.0,1716998489.0,270,0.0,2024-05-29 16:01:29+00:00
27000.0,1716998497.0,270,0.0,2024-05-29 16:01:37+00:00
27000.0,1716998509.0,270,0.0,2024-05-29 16:01:49+00:00
27000.0,1716998517.0,270,0.0,2024-05-29 16:01:57+00:00
27000.0,1716998529.0,270,0.0,2024-05-29 16:02:09+00:00
27000.0,1716998537.0,270,0.0,2024-05-29 16:02:17+00:00
27000.0,1716998549.0,270,0.0,2024-05-29 16:02:29+00:00
27000.0,1716998557.0,270,0.0,2024-05-29 16:02:37+00:00
27000.0,1716998569.0,270,0.0,2024-05-29 16:02:49+00:00
27000.0,1716998577.0,270,0.0,2024-05-29 16:02:57+00:00
27000.0,1716998590.0,270,0.0,2024-05-29 16:03:10+00:00
27000.0,1716998598.0,270,0.0,2024-05-29 16:03:18+00:00
27000.0,1716998609.0,270,0.0,2024-05-29 16:03:29+00:00
27000.0,1716998630.0,270,0.0,2024-05-29 16:03:50+00:00
27000.0,1716998645.0,270,0.0,2024-05-29 16:04:05+00:00
27000.0,1716998670.0,270,0.0,2024-05-29 16:04:30+00:00
27000.0,1716998690.0,270,0.0,2024-05-29 16:04:50+00:00
27000.0,1716998709.0,270,0.0,2024-05-29 16:05:09+00:00
27000.0,1716998730.0,270,0.0,2024-05-29 16:05:30+00:00
27000.0,1716998749.0,270,0.0,2024-05-29 16:05:49+00:00
27000.0,1716998770.0,270,0.0,2024-05-29 16:06:10+00:00
27000.0,1716998790.0,270,0.0,2024-05-29 16:06:30+00:00
27000.0,1716998810.0,270,0.0,2024-05-29 16:06:50+00:00
27000.0,1716998830.0,270,0.0,2024-05-29 16:07:10+00:00
27000.0,1716998851.0,270,0.0,2024-05-29 16:07:31+00:00
27000.0,1716998870.0,270,0.0,2024-05-29 16:07:50+00:00
27000.0,1716998875.0,270,0.0,2024-05-29 16:07:55+00:00
27000.0,1716998923.0,270,0.0,2024-05-29 16:08:43+00:00
27000.0,1716998951.0,270,0.0,2024-05-29 16:09:11+00:00
27000.0,1716998980.0,270,0.0,2024-05-29 16:09:40+00:00
27000.0,1716999012.0,270,0.0,2024-05-29 16:10:12+00:00
27000.0,1716999040.0,270,0.0,2024-05-29 16:10:40+00:00
27000.0,1716999073.0,270,0.0,2024-05-29 16:11:13+00:00
27000.0,1716999101.0,270,0.0,2024-05-29 16:11:41+00:00
27000.0,1716999132.0,270,0.0,2024-05-29 16:12:12+00:00
