flight_id,waypoint,longitude,latitude,altitude,time,n_engine,takeoff_mass,level,air_pressure,air_temperature,specific_humidity,u_wind,v_wind,rhi,true_airspeed,segment_length,sin_a,cos_a,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,wingspan,G,T_sat_liquid,rh,rh_critical_sac,sac,T_critical_sac,width,depth,rhi_1,air_temperature_1,specific_humidity_1,altitude_1,persistent_1,rho_air_1,iwc_1,n_ice_per_m_1,ef,contrail_age,global_yearly_mean_rf,atr20,sdr_mean,rsr_mean,olr_mean,rf_sw_mean,rf_lw_mean,rf_net_mean,cocip,nox_GWP_20_kg,nox_GWP_100_kg,h2o_GWP_20_kg,h2o_GWP_100_kg,soot_GWP_20_kg,soot_GWP_100_kg,so2_GWP_20_kg,so2_GWP_100_kg,contrail_GWP_20_kg,contrail_GWP_100_kg,total_CO2e_GWP_20_kg,total_CO2e_GWP_100_kg,cumulative_distance
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,0,-66.001,18.44,6.096,2023-02-05 01:02:00,2.0,196741.0,1012.5178855340804,101251.78855340804,,,,,,,0.0,,,196741.0,,,,,0.0,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,1,-66.001,18.44,6.096,2023-02-05 01:03:00,2.0,196741.0,1012.5178855340804,101251.78855340804,,,,,,,0.0,,,196741.0,,,,,0.0,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,1
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,2,-66.001,18.44,6.096,2023-02-05 01:04:00,2.0,196741.0,1012.5178855340804,101251.78855340804,,,,,,,141.63834508853304,-0.0808174551998378,-0.9967289194836388,196741.0,,,,,4.0,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,2
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,3,-66.00233823529412,18.43989705882353,7.315200000000001,2023-02-05 01:05:00,2.0,196741.0,1012.3715140546276,101237.15140546276,,,,,,,242.79979208560437,-0.0808147600375895,-0.9967291380109576,196741.0,,,,,0.0,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,3
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,4,-66.00463235294117,18.439720588235296,7.315200000000001,2023-02-05 01:06:00,2.0,196741.0,1012.3715140546276,101237.15140546276,,,,,,,242.8000398001424,-0.0808146776427204,-0.9967291446915272,196741.0,,,,,0.0,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,4
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,5,-66.00692647058824,18.43954411764706,7.315200000000001,2023-02-05 01:07:00,2.0,196741.0,1012.3715140546276,101237.15140546276,,,,,,,242.80028751097035,-0.0808145952428036,-0.996729151372499,196741.0,,,,,0.0,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,5
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,6,-66.0092205882353,18.439367647058823,7.315200000000001,2023-02-05 01:08:00,2.0,196741.0,1012.3715140546276,101237.15140546276,,,,,,,242.8005352221872,-0.0808145128447403,-0.9967291580533136,196741.0,,,,,0.0,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,6
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,7,-66.01151470588235,18.43919117647059,7.315200000000001,2023-02-05 01:09:00,2.0,196741.0,1012.3715140546276,101237.15140546276,,,,,,,242.80078292852787,-0.0808144304516843,-0.9967291647337154,196741.0,,,,,0.0,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,7
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,8,-66.0138088235294,18.439014705882357,7.315200000000001,2023-02-05 01:10:00,2.0,196741.0,1012.3715140546276,101237.15140546276,,,,,,,3147.8788009117466,0.397624114923526,0.9175483983045706,196741.0,,,,,1240.0,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,8
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,9,-65.986625,18.4501875,385.2672,2023-02-05 01:11:00,2.0,196741.0,967.814733079406,96781.4733079406,293.9309,0.0143864965,-9.171058,-0.05444128,0.7483294185324548,85.24700859094752,5372.743003455518,0.9315245835276356,0.3636783610330222,196741.0,0.1741840984318632,3.922680976340285,235.3608585804171,345693.9701626486,980.0,1.9613404881701424,0.7719794481817248,0.0233270399046226,0.0003580476437159,7.272842762979252e-05,0.0003893362390207,3129458342310290.0,743.5049522555375,289.493856053913,0.2824330302965005,0.0057639393938061,0.0047072171716083,5.490272140091644,0.0842704008376699,0.0171174251701516,0.091634511492397,7.365520023377987e+17,60.3,5.461953073504435,244.6600266308441,0.9119003288772988,inf,0.0,240.55044348204584,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,1767.8676291095094,323.926056265407,63.68864833186087,17.36963136323478,392.9287852793983,106.8458404001349,-4.795597575646675,-1.3026503030001786,0.0,0.0,2963.1944174006594,1190.3438299813138,9
