altitude,time,flight_level,Energy_Forcing,time_UTC
27000.0,1713120607,270,0.0,2024-04-14 18:50:07+00:00
27000.0,1713120692,270,0.0,2024-04-14 18:51:32+00:00
27000.0,1713120700,270,0.0,2024-04-14 18:51:40+00:00
27000.0,1713120707,270,0.0,2024-04-14 18:51:47+00:00
27000.0,1713120731,270,0.0,2024-04-14 18:52:11+00:00
27000.0,1713120740,270,0.0,2024-04-14 18:52:20+00:00
27000.0,1713120762,270,0.0,2024-04-14 18:52:42+00:00
27000.0,1713120769,270,0.0,2024-04-14 18:52:49+00:00
27000.0,1713120775,270,0.0,2024-04-14 18:52:55+00:00
27000.0,1713120784,270,0.0,2024-04-14 18:53:04+00:00
27000.0,1713120791,270,0.0,2024-04-14 18:53:11+00:00
27000.0,1713120797,270,0.0,2024-04-14 18:53:17+00:00
27000.0,1713120801,270,0.0,2024-04-14 18:53:21+00:00
27000.0,1713120804,270,0.0,2024-04-14 18:53:24+00:00
27000.0,1713120809,270,0.0,2024-04-14 18:53:29+00:00
27000.0,1713120817,270,0.0,2024-04-14 18:53:37+00:00
27000.0,1713120822,270,0.0,2024-04-14 18:53:42+00:00
27000.0,1713120826,270,0.0,2024-04-14 18:53:46+00:00
27000.0,1713120829,270,0.0,2024-04-14 18:53:49+00:00
27000.0,1713120836,270,0.0,2024-04-14 18:53:56+00:00
27000.0,1713120840,270,0.0,2024-04-14 18:54:00+00:00
27000.0,1713120845,270,0.0,2024-04-14 18:54:05+00:00
27000.0,1713120849,270,0.0,2024-04-14 18:54:09+00:00
27000.0,1713120854,270,0.0,2024-04-14 18:54:14+00:00
27000.0,1713120858,270,0.0,2024-04-14 18:54:18+00:00
27000.0,1713120861,270,0.0,2024-04-14 18:54:21+00:00
27000.0,1713120865,270,0.0,2024-04-14 18:54:25+00:00
27000.0,1713120869,270,0.0,2024-04-14 18:54:29+00:00
27000.0,1713120873,270,0.0,2024-04-14 18:54:33+00:00
27000.0,1713120877,270,0.0,2024-04-14 18:54:37+00:00
27000.0,1713120881,270,0.0,2024-04-14 18:54:41+00:00
27000.0,1713120886,270,0.0,2024-04-14 18:54:46+00:00
27000.0,1713120890,270,0.0,2024-04-14 18:54:50+00:00
27000.0,1713120897,270,0.0,2024-04-14 18:54:57+00:00
27000.0,1713120904,270,0.0,2024-04-14 18:55:04+00:00
27000.0,1713120912,270,0.0,2024-04-14 18:55:12+00:00
27000.0,1713120915,270,0.0,2024-04-14 18:55:15+00:00
27000.0,1713120917,270,0.0,2024-04-14 18:55:17+00:00
27000.0,1713120920,270,0.0,2024-04-14 18:55:20+00:00
27000.0,1713120923,270,0.0,2024-04-14 18:55:23+00:00
27000.0,1713120925,270,0.0,2024-04-14 18:55:25+00:00
27000.0,1713120928,270,0.0,2024-04-14 18:55:28+00:00
27000.0,1713120932,270,0.0,2024-04-14 18:55:32+00:00
27000.0,1713120936,270,0.0,2024-04-14 18:55:36+00:00
27000.0,1713120939,270,0.0,2024-04-14 18:55:39+00:00
27000.0,1713120943,270,0.0,2024-04-14 18:55:43+00:00
27000.0,1713120948,270,0.0,2024-04-14 18:55:48+00:00
27000.0,1713120956,270,0.0,2024-04-14 18:55:56+00:00
27000.0,1713120958,270,0.0,2024-04-14 18:55:58+00:00
27000.0,1713120960,270,0.0,2024-04-14 18:56:00+00:00
27000.0,1713120962,270,0.0,2024-04-14 18:56:02+00:00
27000.0,1713120965,270,0.0,2024-04-14 18:56:05+00:00
27000.0,1713120966,270,0.0,2024-04-14 18:56:06+00:00
27000.0,1713120967,270,0.0,2024-04-14 18:56:07+00:00
27000.0,1713120968,270,0.0,2024-04-14 18:56:08+00:00
27000.0,1713120970,270,0.0,2024-04-14 18:56:10+00:00
27000.0,1713120972,270,0.0,2024-04-14 18:56:12+00:00
27000.0,1713120982,270,0.0,2024-04-14 18:56:22+00:00
27000.0,1713120991,270,0.0,2024-04-14 18:56:31+00:00
27000.0,1713121003,270,0.0,2024-04-14 18:56:43+00:00
27000.0,1713121014,270,0.0,2024-04-14 18:56:54+00:00
